iter	RMSE
0	1038.814381
1	822.2973727
2	682.8844343
3	651.6109296
4	608.4713211
5	587.6280652
6	561.5273551
7	540.9644649
8	531.2050888
9	521.5436999
10	513.0518061
11	504.4777898
12	488.1058904
13	475.2231543
14	464.7584959
15	452.580093
16	445.9656093
17	437.2556113
18	426.2777425
19	417.1224134
20	410.9793737
21	407.6630119
22	398.5931757
23	393.3703935
24	387.4073116
25	380.4008151
26	372.7468356
27	366.7893922
28	364.6703254
29	362.0495716
30	359.7102476
31	355.6322081
32	351.2682469
33	347.583565
34	339.6933521
35	333.352413
36	329.3708286
37	326.0287363
38	321.9119571
39	319.5851695
40	315.6990058
41	310.9952455
42	309.1387863
43	306.3172773
44	301.5762545
45	298.7024544
46	293.6099056
47	288.6172114
48	287.3035779
49	282.2467145
50	279.9621488
51	278.5724909
52	275.0086956
53	272.5561234
54	270.3121137
55	268.0462919
56	265.5550001
57	262.6360471
58	261.3241219
59	258.6859549
60	257.2343627
61	254.0996275
62	251.7539664
63	249.582084
64	246.3415123
65	241.9754146
66	239.5438725
67	237.985668
68	236.5894667
69	235.2014966
70	233.1096997
71	232.1931648
72	229.4732455
73	227.3316481
74	225.2249144
75	224.2114637
76	222.2032087
77	220.5410861
78	218.6654317
79	215.9670202
80	214.4345696
81	213.577545
82	212.1359003
83	209.4116707
84	207.2207947
85	206.1679591
86	204.3826593
87	203.2111645
88	201.5297365
89	199.4472129
90	197.2378179
91	196.0128983
92	194.6465693
93	193.7184757
94	191.7508209
95	190.931343
96	189.9862003
97	188.7233944
98	187.0330958
99	186.400333
