iter	Passed	Remaining
0	3	349
1	5	281
2	7	242
3	9	237
4	13	260
5	18	288
6	21	292
7	26	300
8	29	300
9	33	301
10	37	301
11	41	302
12	44	295
13	47	290
14	49	280
15	52	275
16	56	278
17	62	282
18	68	294
19	73	294
20	77	292
21	82	292
22	86	288
23	90	285
24	96	288
25	101	290
26	105	284
27	110	285
28	117	288
29	122	284
30	126	281
31	131	279
32	135	275
33	145	281
34	156	291
35	160	285
36	168	287
37	174	285
38	177	277
39	179	269
40	182	263
41	186	257
42	189	251
43	193	245
44	198	242
45	202	238
46	207	233
47	213	231
48	219	228
49	223	223
50	226	217
51	231	213
52	235	208
53	239	203
54	242	198
55	246	193
56	249	188
57	255	184
58	261	181
59	266	177
60	270	173
61	274	168
62	279	163
63	283	159
64	287	154
65	290	149
66	293	144
67	297	140
68	303	136
69	307	131
70	310	126
71	314	122
72	319	118
73	323	113
74	328	109
75	332	105
76	336	100
77	339	95
78	343	91
79	347	86
80	350	82
81	355	77
82	359	73
83	362	69
84	367	64
85	372	60
86	377	56
87	383	52
88	389	48
89	394	43
90	399	39
91	404	35
92	409	30
93	413	26
94	417	21
95	421	17
96	425	13
97	428	8
98	431	4
99	435	0
